,Segment,Brand,Export
0,Refreshment Beverages,CADBURY BOURNVITA,No
1,Refreshment Beverages,CADBURY 3-in-1 HOT CHOCOLATE,No
2,Confectionery,TOMTOM CLASSIC,No
3,Confectionery,TOMTOM STRAWBERRY,No
4,Intermediate Cocoa Products,BUTTERMINT,No
5,Intermediate Cocoa Products,COCOA POWDER,Yes
6,Intermediate Cocoa Products,COCOA BUTTER,Yes
7,Intermediate Cocoa Products,COCOA LIQUOR,Yes
8,Intermediate Cocoa Products,COCOA CAKE,Yes
